token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
14797,MEGASOFT-BE,MEGASOFT,,-1,1,,NSE,1
14943,NAGREEKCAP-BE,NAGREEKCAP,,-1,1,,NSE,1
14890,AKI-EQ,AKI,,-1,1,,NSE,1
15036,INFINIUM-SM,INFINIUM,,-1,500,,NSE,5
15049,ENERGYDEV-EQ,ENERGYDEV,,-1,1,,NSE,1
15147,AGUL-SM,AGUL,,-1,2000,,NSE,5
15179,ECLERX-EQ,ECLERX,,-1,1,,NSE,10
15214,DVL-EQ,DVL,,-1,1,,NSE,5
15259,RPOWER-EQ,RPOWER,,-1,1,,NSE,1
15285,QUICKTOUCH-SM,QUICKTOUCH,,-1,500,,NSE,5
1660,ITC-EQ,ITC,,-1,1,,NSE,5
16664,SIGMA-BE,SIGMA,,-1,1,,NSE,1
16713,UBL-EQ,UBL,,-1,1,,NSE,10
16758,KDL-SM,KDL,,-1,150,,NSE,5
16783,GVT&D-EQ,GVT&D,,-1,1,,NSE,10
1681,IVP-EQ,IVP,,-1,1,,NSE,1
16795,ARCHIDPLY-EQ,ARCHIDPLY,,-1,1,,NSE,1
16888,URBAN-SM,URBAN,,-1,800,,NSE,5
17029,PATANJALI-EQ,PATANJALI,,-1,1,,NSE,5
17094,CROMPTON-EQ,CROMPTON,,-1,1,,NSE,5
17152,MIDCAPIETF-EQ,MIDCAPIETF,,-1,1,,NSE,1
1720,JAYSREETEA-EQ,JAYSREETEA,,-1,1,,NSE,1
17197,PAKKA-EQ,PAKKA,,-1,1,,NSE,1
17270,ASPINWALL-EQ,ASPINWALL,,-1,1,,NSE,5
17313,LLOYDSME-EQ,LLOYDSME,,-1,1,,NSE,10
17351,SALONA-EQ,SALONA,,-1,1,,NSE,5
17364,VINATIORGA-EQ,VINATIORGA,,-1,1,,NSE,10
17659,UNIVPHOTO-EQ,UNIVPHOTO,,-1,1,,NSE,5
17781,KKVAPOW-SM,KKVAPOW,,-1,171,,NSE,5
17808,QUAL30IETF-EQ,QUAL30IETF,,-1,1,,NSE,1
17882,ORIANA-SM,ORIANA,,-1,75,,NSE,5
17933,BEARDSELL-EQ,BEARDSELL,,-1,1,,NSE,1
181,ARENTERP-EQ,ARENTERP,,-1,1,,NSE,1
18026,SBFC-EQ,SBFC,,-1,1,,NSE,1
18110,VASCONEQ-EQ,VASCONEQ,,-1,1,,NSE,1
11236,JSL-EQ,JSL,,-1,1,,NSE,5
11233,SUVEN-EQ,SUVEN,,-1,1,,NSE,1
11427,NDTV-EQ,NDTV,,-1,1,,NSE,1
11432,KRITINUT-EQ,KRITINUT,,-1,1,,NSE,1
11439,BANKBEES-EQ,BANKBEES,,-1,1,,NSE,1
11480,KRIDHANINF-EQ,KRIDHANINF,,-1,1,,NSE,1
11532,ULTRACEMCO-EQ,ULTRACEMCO,,-1,1,,NSE,100
11573,FORCEMOT-EQ,FORCEMOT,,-1,1,,NSE,100
11591,HDFCNIFTY-EQ,HDFCNIFTY,,-1,1,,NSE,1
11630,NTPC-EQ,NTPC,,-1,1,,NSE,5
11677,INDOCO-EQ,INDOCO,,-1,1,,NSE,5
1174,GNFC-EQ,GNFC,,-1,1,,NSE,5
11705,XCHANGING-EQ,XCHANGING,,-1,1,,NSE,1
11796,HPIL-EQ,HPIL,,-1,1,,NSE,1
11840,NH-EQ,NH,,-1,1,,NSE,10
11852,SURYALAXMI-EQ,SURYALAXMI,,-1,1,,NSE,1
11896,GEOJITFSL-EQ,GEOJITFSL,,-1,1,,NSE,1
1196,KANSAINER-EQ,KANSAINER,,-1,1,,NSE,1
11961,SEMAC-EQ,SEMAC,,-1,1,,NSE,5
12108,HDFCPVTBAN-EQ,HDFCPVTBAN,,-1,1,,NSE,1
12153,BBTCL-EQ,BBTCL,,-1,1,,NSE,1
12542,AAATECH-BE,AAATECH,,-1,1,,NSE,1
12814,HYBRIDFIN-BE,HYBRIDFIN,,-1,1,,NSE,1
12847,KRISHANA-EQ,KRISHANA,,-1,1,,NSE,5
12978,NPBET-EQ,NPBET,,-1,1,,NSE,1
13162,CELEBRITY-EQ,CELEBRITY,,-1,1,,NSE,1
13197,GSPL-EQ,GSPL,,-1,1,,NSE,5
13211,JAGRAN-EQ,JAGRAN,,-1,1,,NSE,1
13270,JKCEMENT-EQ,JKCEMENT,,-1,1,,NSE,50
13323,DOLLEX-SM,DOLLEX,,-1,4000,,NSE,5
13400,BHAGERIA-EQ,BHAGERIA,,-1,1,,NSE,1
13423,ELIN-EQ,ELIN,,-1,1,,NSE,1
1353,AMJUMBO-SM,AMJUMBO,,-1,8000,,NSE,5
13536,VIDHIING-EQ,VIDHIING,,-1,1,,NSE,5
13570,RBMINFRA-SM,RBMINFRA,,-1,200,,NSE,5
13644,BANKETFADD-EQ,BANKETFADD,,-1,1,,NSE,1
13725,DCBBANK-EQ,DCBBANK,,-1,1,,NSE,1
1375,HCC-EQ,HCC,,-1,1,,NSE,1
13776,GESHIP-EQ,GESHIP,,-1,1,,NSE,10
13844,MMFL-EQ,MMFL,,-1,1,,NSE,5
1412,AGI-EQ,AGI,,-1,1,,NSE,5
14111,NETWORK18-EQ,NETWORK18,,-1,1,,NSE,1
14203,HUBTOWN-EQ,HUBTOWN,,-1,1,,NSE,5
14304,FSL-EQ,FSL,,-1,1,,NSE,5
14428,GOLDBEES-EQ,GOLDBEES,,-1,1,,NSE,1
14490,NCLIND-EQ,NCLIND,,-1,1,,NSE,1
14511,BANSWRAS-EQ,BANSWRAS,,-1,1,,NSE,1
14535,GOLDSHARE-EQ,GOLDSHARE,,-1,1,,NSE,5
14552,PHOENIXLTD-EQ,PHOENIXLTD,,-1,1,,NSE,10
14582,SRHHYPOLTD-EQ,SRHHYPOLTD,,-1,1,,NSE,5
14597,ALPHAGEO-EQ,ALPHAGEO,,-1,1,,NSE,5
14613,QFIL-SM,QFIL,,-1,1000,,NSE,5
14742,AXSENSEX-EQ,AXSENSEX,,-1,1,,NSE,1
1476,IDBI-EQ,IDBI,,-1,1,,NSE,1
14908,KDDL-EQ,KDDL,,-1,1,,NSE,10
14920,TAKE-BE,TAKE,,-1,1,,NSE,1
14924,LAL-EQ,LAL,,-1,1,,NSE,1
14947,MOTILALOFS-EQ,MOTILALOFS,,-1,1,,NSE,5
15044,DELTACORP-EQ,DELTACORP,,-1,1,,NSE,1
15193,BGRENERGY-BE,BGRENERGY,,-1,1,,NSE,5
15266,JKIL-EQ,JKIL,,-1,1,,NSE,5
15303,BANG-EQ,BANG,,-1,1,,NSE,1
15313,IRB-EQ,IRB,,-1,1,,NSE,1
15449,DENEERS-SM,DENEERS,,-1,600,,NSE,5
1593,MGEL-EQ,MGEL,,-1,1,,NSE,1
15730,PIGL-BE,PIGL,,-1,1,,NSE,1
15869,AUROIMPEX-SM,AUROIMPEX,,-1,1600,,NSE,5
1627,LINDEINDIA-EQ,LINDEINDIA,,-1,1,,NSE,50
16588,INFOLLION-SM,INFOLLION,,-1,400,,NSE,5
16675,BAJAJFINSV-EQ,BAJAJFINSV,,-1,1,,NSE,10
16915,ZFCVINDIA-EQ,ZFCVINDIA,,-1,1,,NSE,100
16921,20MICRONS-EQ,20MICRONS,,-1,1,,NSE,1
16954,VILINBIO-SM,VILINBIO,,-1,4000,,NSE,5
17140,IDEAFORGE-EQ,IDEAFORGE,,-1,1,,NSE,5
17333,MHRIL-EQ,MHRIL,,-1,1,,NSE,5
17598,ASALCBR-EQ,ASALCBR,,-1,1,,NSE,10
17603,MAHEPC-EQ,MAHEPC,,-1,1,,NSE,1
17728,ASTEC-EQ,ASTEC,,-1,1,,NSE,5
1782,KANPRPLA-EQ,KANPRPLA,,-1,1,,NSE,1
17766,ZEAL-SM,ZEAL,,-1,600,,NSE,5
17859,REDTAPE-EQ,REDTAPE,,-1,1,,NSE,1
1802,JYOTISTRUC-EQ,JYOTISTRUC,,-1,1,,NSE,1
1805,KABRAEXTRU-EQ,KABRAEXTRU,,-1,1,,NSE,1
18040,YUDIZ-SM,YUDIZ,,-1,800,,NSE,5
14462,LEXUS-BE,LEXUS,,-1,1,,NSE,1
14479,DIVGIITTS-EQ,DIVGIITTS,,-1,1,,NSE,5
14592,FORTIS-EQ,FORTIS,,-1,1,,NSE,10
14590,VELS-SM,VELS,,-1,1200,,NSE,5
14627,HILTON-EQ,HILTON,,-1,1,,NSE,1
14687,GOACARBON-EQ,GOACARBON,,-1,1,,NSE,5
14745,ADVANIHOTR-EQ,ADVANIHOTR,,-1,1,,NSE,1
14761,NELCAST-EQ,NELCAST,,-1,1,,NSE,1
14843,VIPCLOTHNG-EQ,VIPCLOTHNG,,-1,1,,NSE,1
14828,WSI-EQ,WSI,,-1,1,,NSE,1
14952,INDOWIND-EQ,INDOWIND,,-1,1,,NSE,1
14957,MAGNUM-EQ,MAGNUM,,-1,1,,NSE,1
14982,CENTUM-EQ,CENTUM,,-1,1,,NSE,10
15058,AVALON-EQ,AVALON,,-1,1,,NSE,10
1508,ASTERDM-EQ,ASTERDM,,-1,1,,NSE,5
15061,PSUBANK-EQ,PSUBANK,,-1,1,,NSE,1
15204,ARIES-EQ,ARIES,,-1,1,,NSE,5
15129,RGL-EQ,RGL,,-1,1,,NSE,1
15161,HITECHCORP-EQ,HITECHCORP,,-1,1,,NSE,1
15219,PATINTLOG-EQ,PATINTLOG,,-1,1,,NSE,1
15248,KAVDEFENCE-BE,KAVDEFENCE,,-1,1,,NSE,1
15332,NMDC-EQ,NMDC,,-1,1,,NSE,1
15337,RAIN-EQ,RAIN,,-1,1,,NSE,1
15649,ATALREAL-EQ,ATALREAL,,-1,1,,NSE,1
157,APOLLOHOSP-EQ,APOLLOHOSP,,-1,1,,NSE,50
15848,LATTEYS-BE,LATTEYS,,-1,1,,NSE,1
16045,PRINCEPIPE-EQ,PRINCEPIPE,,-1,1,,NSE,5
16249,INFIBEAM-EQ,INFIBEAM,,-1,1,,NSE,1
163,APOLLOTYRE-EQ,APOLLOTYRE,,-1,1,,NSE,5
1630,IONEXCHANG-EQ,IONEXCHANG,,-1,1,,NSE,5
16253,EBBETF0430-EQ,EBBETF0430,,-1,1,,NSE,1
16589,VAISHALI-EQ,VAISHALI,,-1,1,,NSE,1
16657,ANIKINDS-EQ,ANIKINDS,,-1,1,,NSE,1
16669,BAJAJ-AUTO-EQ,BAJAJ-AUTO,,-1,1,,NSE,50
16719,ALMONDZ-EQ,ALMONDZ,,-1,1,,NSE,1
16725,RPGLIFE-EQ,RPGLIFE,,-1,1,,NSE,10
16950,CELLPOINT-SM,CELLPOINT,,-1,1200,,NSE,5
16961,AATMAJ-SM,AATMAJ,,-1,2000,,NSE,5
16996,TPHQ-EQ,TPHQ,,-1,1,,NSE,1
17022,MAWANASUG-EQ,MAWANASUG,,-1,1,,NSE,1
17059,PALREDTEC-BE,PALREDTEC,,-1,1,,NSE,1
17130,PARAGMILK-EQ,PARAGMILK,,-1,1,,NSE,5
17167,GLOBALPET-SM,GLOBALPET,,-1,750,,NSE,5
17210,TRIDHYA-SM,TRIDHYA,,-1,3000,,NSE,5
17380,EXCEL-BE,EXCEL,,-1,1,,NSE,1
17475,NV20IETF-EQ,NV20IETF,,-1,1,,NSE,1
17541,DAMODARIND-EQ,DAMODARIND,,-1,1,,NSE,1
17616,PSUBANKADD-EQ,PSUBANKADD,,-1,1,,NSE,1
17635,ZYDUSWELL-EQ,ZYDUSWELL,,-1,1,,NSE,5
17685,GPTINFRA-EQ,GPTINFRA,,-1,1,,NSE,1
17704,QUESS-EQ,QUESS,,-1,1,,NSE,1
17795,TREL-EQ,TREL,,-1,1,,NSE,1
17875,GODREJPROP-EQ,GODREJPROP,,-1,1,,NSE,10
17898,VINSYS-SM,VINSYS,,-1,250,,NSE,5
1797,AWHCL-EQ,AWHCL,,-1,1,,NSE,5
17971,SBICARD-EQ,SBICARD,,-1,1,,NSE,5
18039,ADVENZYMES-EQ,ADVENZYMES,,-1,1,,NSE,5
18049,MINDTECK-EQ,MINDTECK,,-1,1,,NSE,5
18060,CONCORDBIO-EQ,CONCORDBIO,,-1,1,,NSE,10
18124,DBREALTY-EQ,DBREALTY,,-1,1,,NSE,1
